bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species:Chinstrap,species:Gentoo,island:Dream,island:Torgersen,sex:male
0.2623767755293922,0.7932319809006081,0.29187941026594805,0.32925153620511466,0,0,0,1,1
0.20452960836529807,0.6063098587041554,0.295921574429604,0.22760595384813662,0,0,0,1,0
0.21532946139777318,0.6488811876930823,0.34864760845981424,0.23923985509120144,0,0,0,1,0
0.2274284447001191,0.6541356597982076,0.3091649280752058,0.23713204154124162,0,0,0,1,0
0.3226993029105998,0.9043834120224837,0.33634437521118055,0.3662663142992173,0,0,0,1,1
0.2112477646825435,0.5710860709465437,0.28210336451245005,0.19154132376593933,0,0,0,1,0
0.3549781049884517,0.8587567075369238,0.4590852551386347,0.4092023564059138,0,0,0,1,1
0.18725205061478922,0.5689638734680198,0.2622638267582189,0.18142746484244915,0,0,0,1,0
0.33689543085375667,0.933887251124205,0.39946319847968054,0.3421861699306166,0,0,0,1,1
0.3255370338188661,0.8366430932481309,0.37999805607525167,0.37933223857239307,0,0,0,1,1
0.17350291907909934,0.5525583900973478,0.3114606222799131,0.17949768220967016,0,0,0,1,0
0.23512096639213814,0.7291857961759988,0.3210120709103341,0.2279107859422572,0,0,0,1,0
0.3903631209714991,0.9023070319146979,0.42323835817680233,0.46709826031784496,0,0,0,1,1
0.17520637408337258,0.6361769653805485,0.23837143033671082,0.16988567039629748,0,0,0,1,0
0.4077460505836891,0.9927100114420359,0.5075633761629607,0.4175158008122187,0,0,0,1,1
0.1215239965549638,0.2833453754139558,0.15110967730330752,0.1384395931326301,0,0,0,0,0
0.19253763920241065,0.4404614896681857,0.18809703106274753,0.23696422799388606,0,0,0,0,1
0.15227672288182625,0.3334954313488948,0.2645456319599159,0.20349053494526803,0,0,0,0,0
0.2186728325203388,0.4413522873907523,0.22045639302329312,0.2731405536975184,0,0,0,0,1
0.2002256417396218,0.3710003258753879,0.21202995378836662,0.24232152473083154,0,0,0,0,1
0.13503445978225262,0.3315276871657792,0.23133073578510502,0.17739897295027138,0,0,0,0,0
0.21836432101690267,0.42205178098299195,0.239234541959039,0.29291457341406685,0,0,0,0,1
0.14717669135383107,0.2661424692045078,0.20544790820758196,0.16340805764550884,0,0,0,0,0
0.0947217953740202,0.2840602490800061,0.1426204644432241,0.11256153229915639,0,0,0,0,0
0.22617211336684723,0.41370816950813344,0.22981617198146978,0.2852709955879544,0,0,0,0,1
0.1353934832746409,0.4705036237971448,0.22637437072701144,0.1642466129324297,0,0,1,0,0
0.1996511778732728,0.7283757770623739,0.2876201352854461,0.2899158924133265,0,0,1,0,1
0.18847525018949407,0.6219246732629177,0.2551895715680244,0.22023363392473072,0,0,1,0,0
0.2846066788955291,0.776455264207764,0.2960681102409197,0.342045511474203,0,0,1,0,1
0.19418202574240953,0.585416499113741,0.29399954944902174,0.19803823037844026,0,0,1,0,0
0.28843619353251837,0.832135342520008,0.37429625898119023,0.4030982442367682,0,0,1,0,1
0.31034938130261164,0.8647507627114659,0.3889899399832211,0.3558728938941104,0,0,1,0,1
0.1896755055700886,0.620289317355547,0.25887198088723734,0.23185792341202258,0,0,1,0,0
0.17173056237910259,0.654572337813706,0.26473276916560284,0.19665961519873154,0,0,1,0,0
0.27796107212479604,0.8371806659019896,0.34522711780572485,0.35690389646544535,0,0,1,0,1
0.15350362160649,0.5672257749330288,0.21950261491020437,0.1736931154512785,0,0,1,0,0
0.28342564850070767,0.8006644890780523,0.3506932405842724,0.34327753993290966,0,0,1,0,1
0.1633698498640567,0.5787111696591398,0.22481173762373555,0.17597759240188907,0,0,1,0,0
0.35463687877648026,0.8442962923739128,0.44290652275921766,0.447577684963294,0,0,1,0,1
0.15202602797424497,0.5347251399955292,0.23753816025023056,0.14727321689408096,0,0,1,0,0
0.29567778400160416,0.7470416477757975,0.36855365907085613,0.3907723752381761,0,0,1,0,1
0.23173237000186972,0.785773422656288,0.26736092303349013,0.2885768106675909,0,0,1,0,1
0.18032012650173654,0.56165912152611,0.2947247572700275,0.2160069952051612,0,0,1,0,0
0.3291890413151498,0.8097108730933933,0.42860317532142245,0.4005919693967842,0,0,1,0,1
0.15906597304312575,0.2862981569341443,0.20249589265143533,0.15940941235642345,0,0,0,0,0
0.26844375506919355,0.47584296668153936,0.3234971019312706,0.36850095999799104,0,0,0,0,1
0.1420675278781211,0.3038723658168313,0.22117905089489426,0.1682713545019805,0,0,0,0,0
0.32216247645374974,0.47501010089646817,0.36447863448163276,0.3730821988081322,0,0,0,0,1
0.10587629748581392,0.2603788966446988,0.1576617924637654,0.12020372361508914,0,0,0,0,0
0.271657812923454,0.47220197471421443,0.2729652084494115,0.29820653001935554,0,0,0,0,1
0.16634833813021327,0.2898908549359891,0.23415227493845464,0.1575549909361801,0,0,0,0,0
0.24518499225211532,0.46985439062608103,0.29216999930300064,0.3594019108471062,0,0,0,0,1
0.09525125002050677,0.21345686726268756,0.1276888672964445,0.10574371949984228,0,0,0,0,0
